ID_Transaccion,Fecha,ID_Cliente,Pais,Ciudad,Categoria,Subcategoria,Producto,Cantidad,Precio_Unitario,Costo_Unitario,Venta_Total,Costo_Total,Metodo_Pago
TRX-105182,2023-01-01,665,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_5,4.0,123.04,75.99,492.16,303.96,Transferencia
TRX-112033,2023-01-01,1246,Perú,Lima,Hogar,Muebles,Prod_Muebles_17,3.0,58.36,44.5,175.08,133.5,Crédito
TRX-101220,2023-01-01,1186,Argentina,Córdoba,Ropa,Infantil,Prod_Infantil_2,5.0,45.22,,226.1,123.15,Transferencia
TRX-108326,2023-01-01,1587,Argentina,Buenos Aires,Ropa,Infantil,Prod_Infantil_1,2.0,22.25,12.15,44.5,24.3,Crédito
TRX-104060,2023-01-01,1672,Chile,Santiago,Electrónica,Tablets,Prod_Tablets_6,4.0,132.67,68.71,530.68,274.84,Efectivo
TRX-109549,2023-01-01,124,Argentina,Córdoba,Ropa,Dama,Prod_Dama_9,7.0,33.91,17.4,237.37,121.8,Transferencia
TRX-110578,2023-01-01,932,Argentina,Córdoba,Electrónica,Tablets,Prod_Tablets_17,2.0,97.43,60.68,194.86,121.36,Transf.
TRX-108180,2023-01-01,829,Chile,Valparaíso,Hogar,Cocina,Prod_Cocina_11,2.0,49.21,26.67,98.42,53.34,Débito
TRX-100547,2023-01-01,1220,Perú,Lima,Electrónica,Celulares,Prod_Celulares_8,2.0,174.02,125.98,348.04,251.96,Transferencia
TRX-113949,2023-01-01,1759,Chile,Concepción,Electrónica,Accesorios,Prod_Accesorios_16,9.0,111.0,65.2,999.0,586.8,Débito
TRX-108246,2023-01-01,1480,Chile,Santiago,Ropa,Infantil,Prod_Infantil_11,3.0,50.39,37.7,151.17,113.1,Crédito
TRX-101053,2023-01-01,1438,Chile,Valparaíso,Ropa,Dama,Prod_Dama_1,5.0,48.05,27.0,240.25,135.0,Efectivo
TRX-113809,2023-01-01,54,Argentina,Rosario,Electrónica,Tablets,Prod_Tablets_17,,160.19,93.68,961.14,562.08,Crédito
TRX-107527,2023-01-01,71,Perú,Lima,Hogar,Muebles,Prod_Muebles_19,3.0,24.34,18.82,73.02,56.46,Transferencia
TRX-100799,2023-01-01,799,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_1,5.0,29.76,17.83,148.8,89.15,efect
TRX-107724,2023-01-01,1792,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_3,5.0,31.77,20.18,158.85,100.9,Crédito
TRX-106444,2023-01-01,473,Argentina,Buenos Aires,Hogar,Muebles,Prod_Muebles_6,3.0,49.93,31.03,149.79,93.09,Crédito
TRX-102485,2023-01-01,1225,Argentina,Rosario,Ropa,Dama,Prod_Dama_13,5.0,31.44,21.5,157.2,107.5,Crédito
TRX-107516,2023-01-01,266,chile,Concepción,Electrónica,Laptops,Prod_Laptops_18,6.0,219.84,146.55,1319.04,879.3,Efectivo
TRX-109208,2023-01-01,990,Perú,Lima,Ropa,Caballero,Prod_Caballero_3,1.0,51.55,37.08,51.55,37.08,
TRX-100837,2023-01-01,1059,Chile,Santiago,Ropa,Calzado,Prod_Calzado_2,8.0,53.54,32.95,428.32,263.6,Crédito
TRX-103806,2023-01-01,1330,Argentina,Córdoba,Electrónica,Laptops,Prod_Laptops_6,7.0,85.37,64.72,597.59,453.04,Transferencia
TRX-108555,2023-01-01,1226,Chile,Santiago,Ropa,Caballero,Prod_Caballero_4,9.0,28.68,14.56,258.12,131.04,Efectivo
TRX-101269,2023-01-01,330,Argentina,Buenos Aires,Ropa,Caballero,Prod_Caballero_14,9.0,21.72,13.18,195.48,118.62,Transferencia
TRX-100935,2023-01-01,412,Argentina,Rosario,Electrónica,Laptops,Prod_Laptops_18,5.0,38.71,28.53,193.55,142.65,Efectivo
TRX-101432,2023-01-01,1329,Argentina,,Electrónica,Laptops,Prod_Laptops_7,3.0,134.88,101.31,404.64,303.93,Débito
TRX-107943,2023-01-01,1862,ARG,Córdoba,Electrónica,Celulares,Prod_Celulares_19,7.0,262.03,166.67,1834.21,1166.69,Efectivo
TRX-113371,2023-01-01,117,Chile,Santiago,Ropa,Dama,Prod_Dama_17,4.0,35.64,20.32,142.56,81.28,Transferencia
TRX-102455,2023-01-01,847,Chile,Valparaíso,Electrónica,Celulares,Prod_Celulares_9,8.0,160.55,,1284.4,980.72,Débito
TRX-114187,2023-01-01,1918,Perú,Lima,Ropa,Infantil,Prod_Infantil_9,7.0,48.28,27.85,337.96,194.95,Crédito
TRX-102555,2023-01-01,558,Argentina,Rosario,Hogar,Decoración,Prod_Decoración_14,4.0,61.17,34.08,244.68,136.32,
TRX-114463,2023-01-01,655,argentina,Rosario,Hogar,Cocina,Prod_Cocina_3,3.0,24.87,14.38,74.61,43.14,Transferencia
TRX-110064,2023-01-01,1726,Perú,Arequipa,Hogar,Decoración,Prod_Decoración_18,,38.35,25.5,191.75,127.5,Crédito
TRX-113117,2023-01-01,734,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_5,9.0,95.86,55.23,862.74,497.07,Transferencia
TRX-104446,2023-01-01,802,Perú,Lima,Ropa,Calzado,Prod_Calzado_9,6.0,25.75,13.36,154.5,80.16,Débito 
TRX-111972,2023-01-01,41,Argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_16,7.0,43.72,23.93,306.04,167.51,Transferencia
TRX-100078,2023-01-02,1591,Chile,Concepción,Ropa,Calzado,Prod_Calzado_12,8.0,76.4,60.8,611.2,486.4,Efectivo
TRX-109761,2023-01-02,926,Perú,Lima,Ropa,Dama,Prod_Dama_13,9.0,33.44,24.62,300.96,221.58,Efectivo
TRX-102678,2023-01-02,851,Perú,Trujillo,Electrónica,Celulares,Prod_Celulares_2,,175.6,129.19,702.4,516.76,Débito
TRX-103592,2023-01-02,1371,Argentina,Rosario,Electrónica,Celulares,Prod_Celulares_3,5.0,171.55,128.06,857.75,640.3,Crédito
TRX-105895,2023-01-02,1349,arg.,Buenos Aires,Electrónica,Laptops,Prod_Laptops_17,7.0,112.41,68.18,786.87,477.26,Débito
TRX-100250,2023-01-02,1764,Perú,Trujillo,,Caballero,Prod_Caballero_4,,29.75,17.45,238.0,139.6,Crédito
TRX-111559,2023-01-02,535,Chile,Concepción,Electrónica,Tablets,Prod_Tablets_7,8.0,223.03,133.14,1784.24,1065.12,Crédito
TRX-113012,2023-01-02,512,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_5,3.0,33.85,22.18,101.55,66.54,Crédito
TRX-104129,2023-01-02,1236,Perú,Arequipa,Electrónica,Laptops,Prod_Laptops_16,4.0,189.74,119.57,758.96,478.28,Transferencia
TRX-114085,2023-01-02,1783,Argentina,Córdoba,Ropa,Calzado,Prod_Calzado_3,8.0,35.91,23.68,287.28,189.44,Débito
TRX-114109,2023-01-02,390,Chile,Concepción,Electrónica,Celulares,Prod_Celulares_6,3.0,206.15,136.1,618.45,408.3,Efectivo
TRX-106408,2023-01-02,738,Argentina,Córdoba,Electrónica,Celulares,Prod_Celulares_12,7.0,,68.56,714.84,479.92,Crédito
TRX-102407,2023-01-02,526,Chile,Valparaíso,Ropa,Caballero,Prod_Caballero_6,4.0,26.96,18.14,107.84,72.56,Transferencia
TRX-108892,2023-01-02,1402,Perú,Lima,Electrónica,Celulares,Prod_Celulares_15,6.0,117.84,85.59,707.04,513.54,Crédito
TRX-109988,2023-01-02,1994,Chile,Santiago,Hogar,Decoración,Prod_Decoración_9,6.0,44.11,31.26,264.66,187.56,Transferencia
TRX-110130,2023-01-02,220,Perú,Lima,Hogar,Decoración,Prod_Decoración_12,2.0,19.49,10.97,38.98,21.94,Transferencia
TRX-110118,2023-01-02,1867,Chile,Santiago,Ropa,Calzado,Prod_Calzado_17,8.0,57.59,41.88,460.72,335.04,Débito
TRX-105257,2023-01-02,1572,Perú,Trujillo,Electrónica,Laptops,Prod_Laptops_5,6.0,156.81,90.38,940.86,542.28,Efectivo
TRX-110054,2023-01-02,1460,Chile,,Electrónica,Tablets,Prod_Tablets_12,4.0,218.54,167.44,874.16,669.76,Transferencia
TRX-108747,2023-01-02,396,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_4,7.0,39.26,27.21,274.82,190.47,Crédito
TRX-112886,2023-01-02,1814,Argentina,Buenos Aires,,Laptops,Prod_Laptops_1,9.0,117.92,87.72,1061.28,789.48,Efectivo
TRX-103909,2023-01-02,885,CHL,Santiago,Electrónica,Tablets,Prod_Tablets_2,6.0,132.13,75.5,792.78,453.0,Débito
TRX-102248,2023-01-02,774,Chile,Valparaíso,Hogar,Decoración,Prod_Decoración_18,1.0,40.5,28.08,40.5,28.08,Transferencia
TRX-106658,2023-01-02,1002,Argentina,Buenos Aires,Electrónica,Tablets,Prod_Tablets_9,7.0,89.97,68.67,629.79,480.69,Transferencia
TRX-110555,2023-01-02,1526,Chile,Valparaíso,Electrónica,Accesorios,Prod_Accesorios_11,2.0,208.44,121.73,416.88,243.46,Débito
TRX-101589,2023-01-02,1947,Argentina,Buenos Aires,Hogar,Cocina,Prod_Cocina_6,8.0,25.92,14.46,207.36,115.68,Transferencia
TRX-108486,2023-01-02,1549,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_15,5.0,57.02,33.99,285.1,169.95,Transferencia
TRX-105351,2023-01-02,836,Perú,Arequipa,Electrónica,Accesorios,Prod_Accesorios_11,9.0,149.16,114.4,1342.44,1029.6,Transferencia
TRX-111723,2023-01-02,1821,Argentina,Córdoba,Electrónica,Tablets,Prod_Tablets_14,2.0,175.3,117.56,350.6,235.12,CREDITO
TRX-100323,2023-01-02,1236,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_11,9.0,39.36,31.27,354.24,281.43,Efectivo
TRX-112781,2023-01-02,132,Argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_4,,62.71,47.28,376.26,283.68,transferencia
TRX-101943,2023-01-03,1942,Chile,Santiago,Ropa,Calzado,Prod_Calzado_4,9.0,35.29,18.45,317.61,166.05,Crédito
TRX-103300,2023-01-03,1347,Argentina,Rosario,Hogar,Decoración,Prod_Decoración_1,3.0,28.95,16.47,86.85,49.41,Crédito
TRX-112262,2023-01-03,1694,Argentina,Buenos Aires,Electrónica,Tablets,Prod_Tablets_15,8.0,63.84,40.18,510.72,321.44,Débito
TRX-102619,2023-01-03,1049,Argentina,Buenos Aires,Ropa,Infantil,Prod_Infantil_7,6.0,34.72,20.86,208.32,125.16,Transferencia
TRX-105107,2023-01-03,1556,Perú,Arequipa,Hogar,Decoración,Prod_Decoración_6,7.0,29.88,19.12,209.16,133.84,Efectivo
TRX-106012,2023-01-03,446,Chile,Concepción,Electrónica,Celulares,Prod_Celulares_12,2.0,167.09,110.29,334.18,220.58,Efectivo
TRX-103371,2023-01-03,387,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_6,6.0,28.32,15.9,169.92,95.4,Efectivo
TRX-102859,2023-01-03,1339,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_18,3.0,119.63,89.44,358.89,268.32,Crédito
TRX-105199,2023-01-03,1173,Perú,Arequipa,Electrónica,Tablets,Prod_Tablets_5,5.0,169.96,108.87,849.8,544.35,Efectivo
TRX-103278,2023-01-03,1394,Perú,Arequipa,Electrónica,Laptops,Prod_Laptops_3,8.0,181.82,91.78,1454.56,734.24,Crédito
TRX-110273,2023-01-03,839,Perú,Trujillo,Hogar,Iluminación,Prod_Iluminación_14,9.0,21.01,13.01,189.09,117.09,Crédito
TRX-110233,2023-01-03,35,Argentina,Córdoba,Ropa,Dama,Prod_Dama_17,2.0,20.56,11.03,41.12,22.06,Transferencia
TRX-113879,2023-01-03,890,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_17,7.0,22.32,12.35,156.24,86.45,Débito
TRX-105559,2023-01-03,592,Argentina,Rosario,Ropa,Dama,Prod_Dama_14,6.0,43.97,26.55,263.82,159.3,Crédito
TRX-109589,2023-01-03,1668,CHL,Valparaíso,Electrónica,Laptops,Prod_Laptops_12,7.0,148.33,90.82,1038.31,635.74,Crédito
TRX-106887,2023-01-03,1579,Chile,Valparaíso,Ropa,Caballero,Prod_Caballero_2,8.0,54.37,37.93,434.96,303.44,Débito
TRX-104680,2023-01-03,459,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_3,2.0,33.69,17.88,67.38,35.76,Efectivo
TRX-104869,2023-01-03,591,Chile,Concepción,Ropa,Infantil,Prod_Infantil_18,2.0,53.43,26.85,106.86,53.7,Crédito
TRX-101104,2023-01-03,1948,Argentina,Córdoba,Electrónica,Tablets,Prod_Tablets_13,2.0,50.98,37.03,101.96,74.06,Débito
TRX-113736,2023-01-03,1074,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_5,3.0,140.77,107.76,422.31,323.28,Débito
TRX-105803,2023-01-03,131,arg.,Córdoba,Electrónica,Accesorios,Prod_Accesorios_7,3.0,180.19,108.81,540.57,326.43,Débito
TRX-102302,2023-01-03,1482,Argentina,Rosario,Electrónica,Celulares,Prod_Celulares_17,6.0,,103.22,1094.04,619.32,Crédito
TRX-108547,2023-01-03,1401,Argentina,Córdoba,Hogar,Decoración,Prod_Decoración_9,4.0,61.42,43.46,245.68,173.84,Efectivo
TRX-112172,2023-01-03,927,Perú,Lima,Ropa,Dama,Prod_Dama_6,4.0,41.69,23.98,166.76,95.92,Transferencia
TRX-101867,2023-01-03,807,Perú,Arequipa,Electrónica,Laptops,Prod_Laptops_9,7.0,225.9,171.92,1581.3,1203.44,Efectivo
