,ID_Transaccion,Fecha,ID_Cliente,Pais,Ciudad,Categoria,Subcategoria,Producto,Cantidad,Precio_Unitario,Costo_Unitario,Venta_Total,Costo_Total,Metodo_Pago,Ganancia_Bruta,mes_texto,Total_Compras,Indice_Constancia
0,TRX-105182,2023-01-01,665,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_5,4.0,123.04,75.99,492.16,303.96,Transferencia,188.2,01-Enero,6,02-Regular
1,TRX-112033,2023-01-01,1246,Perú,Lima,Hogar,Muebles,Prod_Muebles_17,3.0,58.36,44.5,175.08,133.5,Crédito,41.58,01-Enero,10,01-Fiel (VIP)
2,TRX-108326,2023-01-01,1587,Argentina,Buenos Aires,Ropa,Infantil,Prod_Infantil_1,2.0,22.25,12.15,44.5,24.3,Crédito,20.2,01-Enero,11,01-Fiel (VIP)
3,TRX-104060,2023-01-01,1672,Chile,Santiago,Electrónica,Tablets,Prod_Tablets_6,4.0,132.67,68.71,530.68,274.84,Efectivo,255.84,01-Enero,7,02-Regular
4,TRX-109549,2023-01-01,124,Argentina,Córdoba,Ropa,Dama,Prod_Dama_9,7.0,33.91,17.4,237.37,121.8,Transferencia,115.57,01-Enero,8,02-Regular
5,TRX-110578,2023-01-01,932,Argentina,Córdoba,Electrónica,Tablets,Prod_Tablets_17,2.0,97.43,60.68,194.86,121.36,Transferencia,73.5,01-Enero,7,02-Regular
6,TRX-108180,2023-01-01,829,Chile,Valparaíso,Hogar,Cocina,Prod_Cocina_11,2.0,49.21,26.67,98.42,53.34,Débito,45.08,01-Enero,5,02-Regular
7,TRX-100547,2023-01-01,1220,Perú,Lima,Electrónica,Celulares,Prod_Celulares_8,2.0,174.02,125.98,348.04,251.96,Transferencia,96.08,01-Enero,5,02-Regular
8,TRX-108246,2023-01-01,1480,Chile,Santiago,Ropa,Infantil,Prod_Infantil_11,3.0,50.39,37.7,151.17,113.1,Crédito,38.07,01-Enero,4,02-Regular
9,TRX-101053,2023-01-01,1438,Chile,Valparaíso,Ropa,Dama,Prod_Dama_1,5.0,48.05,27.0,240.25,135.0,Efectivo,105.25,01-Enero,7,02-Regular
10,TRX-107527,2023-01-01,71,Perú,Lima,Hogar,Muebles,Prod_Muebles_19,3.0,24.34,18.82,73.02,56.46,Transferencia,16.56,01-Enero,6,02-Regular
11,TRX-100799,2023-01-01,799,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_1,5.0,29.76,17.83,148.8,89.15,Efectivo,59.65,01-Enero,5,02-Regular
12,TRX-107724,2023-01-01,1792,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_3,5.0,31.77,20.18,158.85,100.9,Crédito,57.95,01-Enero,6,02-Regular
13,TRX-106444,2023-01-01,473,Argentina,Buenos Aires,Hogar,Muebles,Prod_Muebles_6,3.0,49.93,31.03,149.79,93.09,Crédito,56.7,01-Enero,7,02-Regular
14,TRX-102485,2023-01-01,1225,Argentina,Rosario,Ropa,Dama,Prod_Dama_13,5.0,31.44,21.5,157.2,107.5,Crédito,49.7,01-Enero,8,02-Regular
15,TRX-109208,2023-01-01,990,Perú,Lima,Ropa,Caballero,Prod_Caballero_3,1.0,51.55,37.08,51.55,37.08,No Identificado,14.47,01-Enero,5,02-Regular
16,TRX-100837,2023-01-01,1059,Chile,Santiago,Ropa,Calzado,Prod_Calzado_2,8.0,53.54,32.95,428.32,263.6,Crédito,164.72,01-Enero,8,02-Regular
17,TRX-103806,2023-01-01,1330,Argentina,Córdoba,Electrónica,Laptops,Prod_Laptops_6,7.0,85.37,64.72,597.59,453.04,Transferencia,144.55,01-Enero,7,02-Regular
18,TRX-108555,2023-01-01,1226,Chile,Santiago,Ropa,Caballero,Prod_Caballero_4,9.0,28.68,14.56,258.12,131.04,Efectivo,127.08,01-Enero,13,01-Fiel (VIP)
19,TRX-101269,2023-01-01,330,Argentina,Buenos Aires,Ropa,Caballero,Prod_Caballero_14,9.0,21.72,13.18,195.48,118.62,Transferencia,76.86,01-Enero,9,02-Regular
20,TRX-100935,2023-01-01,412,Argentina,Rosario,Electrónica,Laptops,Prod_Laptops_18,5.0,38.71,28.53,193.55,142.65,Efectivo,50.9,01-Enero,2,03-Ocasional
21,TRX-101432,2023-01-01,1329,Argentina,Sin Especificar,Electrónica,Laptops,Prod_Laptops_7,3.0,134.88,101.31,404.64,303.93,Débito,100.71,01-Enero,7,02-Regular
22,TRX-113371,2023-01-01,117,Chile,Santiago,Ropa,Dama,Prod_Dama_17,4.0,35.64,20.32,142.56,81.28,Transferencia,61.28,01-Enero,4,02-Regular
23,TRX-114187,2023-01-01,1918,Perú,Lima,Ropa,Infantil,Prod_Infantil_9,7.0,48.28,27.85,337.96,194.95,Crédito,143.01,01-Enero,5,02-Regular
24,TRX-102555,2023-01-01,558,Argentina,Rosario,Hogar,Decoración,Prod_Decoración_14,4.0,61.17,34.08,244.68,136.32,No Identificado,108.36,01-Enero,5,02-Regular
25,TRX-114463,2023-01-01,655,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_3,3.0,24.87,14.38,74.61,43.14,Transferencia,31.47,01-Enero,6,02-Regular
26,TRX-113117,2023-01-01,734,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_5,9.0,95.86,55.23,862.74,497.07,Transferencia,365.67,01-Enero,5,02-Regular
27,TRX-104446,2023-01-01,802,Perú,Lima,Ropa,Calzado,Prod_Calzado_9,6.0,25.75,13.36,154.5,80.16,Débito,74.34,01-Enero,9,02-Regular
28,TRX-111972,2023-01-01,41,Argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_16,7.0,43.72,23.93,306.04,167.51,Transferencia,138.53,01-Enero,6,02-Regular
29,TRX-100078,2023-01-02,1591,Chile,Concepción,Ropa,Calzado,Prod_Calzado_12,8.0,76.4,60.8,611.2,486.4,Efectivo,124.8,01-Enero,8,02-Regular
30,TRX-109761,2023-01-02,926,Perú,Lima,Ropa,Dama,Prod_Dama_13,9.0,33.44,24.62,300.96,221.58,Efectivo,79.38,01-Enero,7,02-Regular
31,TRX-103592,2023-01-02,1371,Argentina,Rosario,Electrónica,Celulares,Prod_Celulares_3,5.0,171.55,128.06,857.75,640.3,Crédito,217.45,01-Enero,4,02-Regular
32,TRX-105895,2023-01-02,1349,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_17,7.0,112.41,68.18,786.87,477.26,Débito,309.61,01-Enero,7,02-Regular
33,TRX-113012,2023-01-02,512,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_5,3.0,33.85,22.18,101.55,66.54,Crédito,35.01,01-Enero,9,02-Regular
34,TRX-104129,2023-01-02,1236,Perú,Arequipa,Electrónica,Laptops,Prod_Laptops_16,4.0,189.74,119.57,758.96,478.28,Transferencia,280.68,01-Enero,7,02-Regular
35,TRX-114085,2023-01-02,1783,Argentina,Córdoba,Ropa,Calzado,Prod_Calzado_3,8.0,35.91,23.68,287.28,189.44,Débito,97.84,01-Enero,7,02-Regular
36,TRX-114109,2023-01-02,390,Chile,Concepción,Electrónica,Celulares,Prod_Celulares_6,3.0,206.15,136.1,618.45,408.3,Efectivo,210.15,01-Enero,6,02-Regular
37,TRX-102407,2023-01-02,526,Chile,Valparaíso,Ropa,Caballero,Prod_Caballero_6,4.0,26.96,18.14,107.84,72.56,Transferencia,35.28,01-Enero,10,01-Fiel (VIP)
38,TRX-108892,2023-01-02,1402,Perú,Lima,Electrónica,Celulares,Prod_Celulares_15,6.0,117.84,85.59,707.04,513.54,Crédito,193.5,01-Enero,12,01-Fiel (VIP)
39,TRX-109988,2023-01-02,1994,Chile,Santiago,Hogar,Decoración,Prod_Decoración_9,6.0,44.11,31.26,264.66,187.56,Transferencia,77.1,01-Enero,4,02-Regular
40,TRX-110130,2023-01-02,220,Perú,Lima,Hogar,Decoración,Prod_Decoración_12,2.0,19.49,10.97,38.98,21.94,Transferencia,17.04,01-Enero,6,02-Regular
41,TRX-110118,2023-01-02,1867,Chile,Santiago,Ropa,Calzado,Prod_Calzado_17,8.0,57.59,41.88,460.72,335.04,Débito,125.68,01-Enero,7,02-Regular
42,TRX-105257,2023-01-02,1572,Perú,Trujillo,Electrónica,Laptops,Prod_Laptops_5,6.0,156.81,90.38,940.86,542.28,Efectivo,398.58,01-Enero,3,03-Ocasional
43,TRX-110054,2023-01-02,1460,Chile,Sin Especificar,Electrónica,Tablets,Prod_Tablets_12,4.0,218.54,167.44,874.16,669.76,Transferencia,204.4,01-Enero,7,02-Regular
44,TRX-108747,2023-01-02,396,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_4,7.0,39.26,27.21,274.82,190.47,Crédito,84.35,01-Enero,10,01-Fiel (VIP)
45,TRX-103909,2023-01-02,885,Chile,Santiago,Electrónica,Tablets,Prod_Tablets_2,6.0,132.13,75.5,792.78,453.0,Débito,339.78,01-Enero,4,02-Regular
46,TRX-102248,2023-01-02,774,Chile,Valparaíso,Hogar,Decoración,Prod_Decoración_18,1.0,40.5,28.08,40.5,28.08,Transferencia,12.42,01-Enero,7,02-Regular
47,TRX-106658,2023-01-02,1002,Argentina,Buenos Aires,Electrónica,Tablets,Prod_Tablets_9,7.0,89.97,68.67,629.79,480.69,Transferencia,149.1,01-Enero,7,02-Regular
48,TRX-110555,2023-01-02,1526,Chile,Valparaíso,Electrónica,Accesorios,Prod_Accesorios_11,2.0,208.44,121.73,416.88,243.46,Débito,173.42,01-Enero,9,02-Regular
49,TRX-101589,2023-01-02,1947,Argentina,Buenos Aires,Hogar,Cocina,Prod_Cocina_6,8.0,25.92,14.46,207.36,115.68,Transferencia,91.68,01-Enero,7,02-Regular
50,TRX-108486,2023-01-02,1549,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_15,5.0,57.02,33.99,285.1,169.95,Transferencia,115.15,01-Enero,7,02-Regular
51,TRX-111723,2023-01-02,1821,Argentina,Córdoba,Electrónica,Tablets,Prod_Tablets_14,2.0,175.3,117.56,350.6,235.12,Crédito,115.48,01-Enero,4,02-Regular
52,TRX-100323,2023-01-02,1236,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_11,9.0,39.36,31.27,354.24,281.43,Efectivo,72.81,01-Enero,7,02-Regular
53,TRX-101943,2023-01-03,1942,Chile,Santiago,Ropa,Calzado,Prod_Calzado_4,9.0,35.29,18.45,317.61,166.05,Crédito,151.56,01-Enero,4,02-Regular
54,TRX-103300,2023-01-03,1347,Argentina,Rosario,Hogar,Decoración,Prod_Decoración_1,3.0,28.95,16.47,86.85,49.41,Crédito,37.44,01-Enero,7,02-Regular
55,TRX-112262,2023-01-03,1694,Argentina,Buenos Aires,Electrónica,Tablets,Prod_Tablets_15,8.0,63.84,40.18,510.72,321.44,Débito,189.28,01-Enero,7,02-Regular
56,TRX-102619,2023-01-03,1049,Argentina,Buenos Aires,Ropa,Infantil,Prod_Infantil_7,6.0,34.72,20.86,208.32,125.16,Transferencia,83.16,01-Enero,4,02-Regular
57,TRX-105107,2023-01-03,1556,Perú,Arequipa,Hogar,Decoración,Prod_Decoración_6,7.0,29.88,19.12,209.16,133.84,Efectivo,75.32,01-Enero,5,02-Regular
58,TRX-106012,2023-01-03,446,Chile,Concepción,Electrónica,Celulares,Prod_Celulares_12,2.0,167.09,110.29,334.18,220.58,Efectivo,113.6,01-Enero,8,02-Regular
59,TRX-103371,2023-01-03,387,Argentina,Rosario,Hogar,Cocina,Prod_Cocina_6,6.0,28.32,15.9,169.92,95.4,Efectivo,74.52,01-Enero,9,02-Regular
60,TRX-102859,2023-01-03,1339,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_18,3.0,119.63,89.44,358.89,268.32,Crédito,90.57,01-Enero,5,02-Regular
61,TRX-105199,2023-01-03,1173,Perú,Arequipa,Electrónica,Tablets,Prod_Tablets_5,5.0,169.96,108.87,849.8,544.35,Efectivo,305.45,01-Enero,5,02-Regular
62,TRX-110273,2023-01-03,839,Perú,Trujillo,Hogar,Iluminación,Prod_Iluminación_14,9.0,21.01,13.01,189.09,117.09,Crédito,72.0,01-Enero,6,02-Regular
63,TRX-110233,2023-01-03,35,Argentina,Córdoba,Ropa,Dama,Prod_Dama_17,2.0,20.56,11.03,41.12,22.06,Transferencia,19.06,01-Enero,7,02-Regular
64,TRX-113879,2023-01-03,890,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_17,7.0,22.32,12.35,156.24,86.45,Débito,69.79,01-Enero,4,02-Regular
65,TRX-105559,2023-01-03,592,Argentina,Rosario,Ropa,Dama,Prod_Dama_14,6.0,43.97,26.55,263.82,159.3,Crédito,104.52,01-Enero,4,02-Regular
66,TRX-106887,2023-01-03,1579,Chile,Valparaíso,Ropa,Caballero,Prod_Caballero_2,8.0,54.37,37.93,434.96,303.44,Débito,131.52,01-Enero,7,02-Regular
67,TRX-104680,2023-01-03,459,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_3,2.0,33.69,17.88,67.38,35.76,Efectivo,31.62,01-Enero,12,01-Fiel (VIP)
68,TRX-104869,2023-01-03,591,Chile,Concepción,Ropa,Infantil,Prod_Infantil_18,2.0,53.43,26.85,106.86,53.7,Crédito,53.16,01-Enero,8,02-Regular
69,TRX-101104,2023-01-03,1948,Argentina,Córdoba,Electrónica,Tablets,Prod_Tablets_13,2.0,50.98,37.03,101.96,74.06,Débito,27.9,01-Enero,8,02-Regular
70,TRX-113736,2023-01-03,1074,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_5,3.0,140.77,107.76,422.31,323.28,Débito,99.03,01-Enero,3,03-Ocasional
71,TRX-105803,2023-01-03,131,Argentina,Córdoba,Electrónica,Accesorios,Prod_Accesorios_7,3.0,180.19,108.81,540.57,326.43,Débito,214.14,01-Enero,4,02-Regular
72,TRX-108547,2023-01-03,1401,Argentina,Córdoba,Hogar,Decoración,Prod_Decoración_9,4.0,61.42,43.46,245.68,173.84,Efectivo,71.84,01-Enero,8,02-Regular
73,TRX-112172,2023-01-03,927,Perú,Lima,Ropa,Dama,Prod_Dama_6,4.0,41.69,23.98,166.76,95.92,Transferencia,70.84,01-Enero,4,02-Regular
74,TRX-108202,2023-01-03,217,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_1,7.0,44.64,27.56,312.48,192.92,No Identificado,119.56,01-Enero,11,01-Fiel (VIP)
75,TRX-109804,2023-01-03,1485,Chile,Concepción,Ropa,Calzado,Prod_Calzado_6,3.0,19.98,11.21,59.94,33.63,Crédito,26.31,01-Enero,3,03-Ocasional
76,TRX-103368,2023-01-04,1096,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_9,8.0,16.24,11.79,129.92,94.32,Crédito,35.6,01-Enero,4,02-Regular
77,TRX-109618,2023-01-04,306,Chile,Santiago,Ropa,Dama,Prod_Dama_17,8.0,18.44,10.77,147.52,86.16,Crédito,61.36,01-Enero,7,02-Regular
78,TRX-112211,2023-01-04,209,Argentina,Buenos Aires,Hogar,Cocina,Prod_Cocina_13,1.0,33.81,26.63,33.81,26.63,Efectivo,7.18,01-Enero,10,01-Fiel (VIP)
79,TRX-108865,2023-01-04,35,Chile,Valparaíso,Hogar,Iluminación,Prod_Iluminación_7,9.0,52.65,32.98,473.85,296.82,Transferencia,177.03,01-Enero,7,02-Regular
80,TRX-107991,2023-01-04,1401,Perú,Arequipa,Electrónica,Celulares,Prod_Celulares_16,4.0,77.45,53.33,309.8,213.32,Transferencia,96.48,01-Enero,8,02-Regular
81,TRX-112799,2023-01-04,738,Argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_18,4.0,23.9,15.93,95.6,63.72,Efectivo,31.88,01-Enero,9,02-Regular
82,TRX-112192,2023-01-04,143,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_2,4.0,28.35,16.92,113.4,67.68,Transferencia,45.72,01-Enero,7,02-Regular
83,TRX-110641,2023-01-04,1287,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_5,5.0,53.75,34.96,268.75,174.8,Efectivo,93.95,01-Enero,4,02-Regular
84,TRX-114198,2023-01-04,1641,Argentina,Rosario,Hogar,Iluminación,Prod_Iluminación_18,5.0,64.04,43.92,320.2,219.6,Crédito,100.6,01-Enero,7,02-Regular
85,TRX-102118,2023-01-04,1335,Perú,Trujillo,Electrónica,Laptops,Prod_Laptops_15,3.0,161.45,83.42,484.35,250.26,Transferencia,234.09,01-Enero,7,02-Regular
86,TRX-109603,2023-01-04,1322,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_11,5.0,157.65,122.11,788.25,610.55,Débito,177.7,01-Enero,4,02-Regular
87,TRX-103812,2023-01-04,490,Perú,Trujillo,Ropa,Infantil,Prod_Infantil_13,3.0,44.19,33.7,132.57,101.1,Transferencia,31.47,01-Enero,9,02-Regular
88,TRX-107116,2023-01-04,559,Argentina,Sin Especificar,Ropa,Dama,Prod_Dama_13,1.0,8.41,4.98,8.41,4.98,Efectivo,3.43,01-Enero,5,02-Regular
89,TRX-101168,2023-01-04,1802,Argentina,Buenos Aires,Hogar,Decoración,Prod_Decoración_3,7.0,30.14,16.94,210.98,118.58,Débito,92.4,01-Enero,7,02-Regular
90,TRX-109529,2023-01-04,533,Chile,Santiago,Ropa,Infantil,Prod_Infantil_11,4.0,64.4,36.49,257.6,145.96,Efectivo,111.64,01-Enero,4,02-Regular
91,TRX-113888,2023-01-04,542,Argentina,Rosario,Electrónica,Tablets,Prod_Tablets_1,2.0,151.75,92.94,303.5,185.88,Transferencia,117.62,01-Enero,6,02-Regular
92,TRX-113318,2023-01-04,1500,Chile,Valparaíso,Electrónica,Laptops,Prod_Laptops_16,2.0,5.0,2.58,10.0,5.16,Débito,4.84,01-Enero,8,02-Regular
93,TRX-106847,2023-01-04,1204,Chile,Concepción,Ropa,Calzado,Prod_Calzado_11,6.0,52.53,37.29,315.18,223.74,No Identificado,91.44,01-Enero,2,03-Ocasional
94,TRX-105076,2023-01-04,1006,Chile,Santiago,Hogar,Muebles,Prod_Muebles_18,5.0,44.23,25.81,221.15,129.05,Efectivo,92.1,01-Enero,5,02-Regular
95,TRX-100405,2023-01-04,1363,Chile,Valparaíso,Ropa,Infantil,Prod_Infantil_4,5.0,50.94,34.83,254.7,174.15,Débito,80.55,01-Enero,4,02-Regular
